recipe_id,name,meal_type,servings,prep_time_min,ingredients,kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fiber_g_per_serving,instructions
R0011,Wrap fitness de atun al natural escurrido con espinaca y limon,almuerzo,1,26,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 95}, {""ingredient"": ""espinaca"", ""grams"": 77}, {""ingredient"": ""quinoa cocida"", ""grams"": 138}]",293.5,33.0,32.2,3.9,5.6,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0012,Pudding de chia con naranja,postre,1,6,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 240}, {""ingredient"": ""cacao amargo"", ""grams"": 28}, {""ingredient"": ""miel"", ""grams"": 25}, {""ingredient"": ""naranja"", ""grams"": 134}, {""ingredient"": ""semillas de chia"", ""grams"": 19}]",343.2,12.4,65.4,12.7,20.6,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0013,Yogur griego con manzana y semillas de chia,snack,1,6,"[{""ingredient"": ""manzana"", ""grams"": 115}, {""ingredient"": ""miel"", ""grams"": 19}, {""ingredient"": ""semillas de chia"", ""grams"": 15}, {""ingredient"": ""yogur griego descremado"", ""grams"": 196}]",306.1,22.6,44.9,5.7,7.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0014,Pudding de chia con manzana,postre,1,18,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 150}, {""ingredient"": ""cacao amargo"", ""grams"": 30}, {""ingredient"": ""manzana"", ""grams"": 129}, {""ingredient"": ""semillas de lino"", ""grams"": 14}]",240.2,10.3,42.2,12.0,18.3,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0015,Tostadas integrales con porotos negros cocidos y zapallito,desayuno,2,21,"[{""ingredient"": ""palta"", ""grams"": 28}, {""ingredient"": ""pan integral"", ""grams"": 60}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 155}, {""ingredient"": ""zapallito"", ""grams"": 140}]",210.7,12.0,34.3,3.9,10.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0016,Salmon con avena y ensalada,cena,2,31,"[{""ingredient"": ""aceite de oliva"", ""grams"": 11}, {""ingredient"": ""avena"", ""grams"": 110}, {""ingredient"": ""lechuga"", ""grams"": 123}, {""ingredient"": ""pavo cocido"", ""grams"": 183}]",418.2,36.7,38.2,13.1,6.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0017,Salmon con pasta integral cocida y ensalada,cena,1,12,"[{""ingredient"": ""huevo entero"", ""grams"": 197}, {""ingredient"": ""pasta integral cocida"", ""grams"": 160}, {""ingredient"": ""semillas de chia"", ""grams"": 29}, {""ingredient"": ""tomate"", ""grams"": 78}]",635.1,39.2,57.4,29.6,15.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0018,Salmon con arroz integral cocido y ensalada,cena,1,40,"[{""ingredient"": ""aceite de oliva"", ""grams"": 27}, {""ingredient"": ""arroz integral cocido"", ""grams"": 236}, {""ingredient"": ""cebolla"", ""grams"": 195}, {""ingredient"": ""salmon"", ""grams"": 157}, {""ingredient"": ""salsa de soja"", ""grams"": 26}]",947.3,42.0,79.8,50.1,7.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0019,Tazón de quinoa con carne magra cocida y lechuga,cena,1,12,"[{""ingredient"": ""arroz blanco cocido"", ""grams"": 242}, {""ingredient"": ""carne magra cocida"", ""grams"": 132}, {""ingredient"": ""lechuga"", ""grams"": 127}, {""ingredient"": ""palta"", ""grams"": 18}]",600.0,44.9,73.0,12.9,3.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0020,Tazón de quinoa con pechuga de pollo cocida y cebolla,cena,1,27,"[{""ingredient"": ""avena"", ""grams"": 108}, {""ingredient"": ""cebolla"", ""grams"": 79}, {""ingredient"": ""pechuga de pollo cocida"", ""grams"": 82}]",587.0,44.5,79.0,10.5,12.8,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0021,Omelette de zanahoria con almendras,desayuno,2,24,"[{""ingredient"": ""almendras"", ""grams"": 27}, {""ingredient"": ""huevo entero"", ""grams"": 100}, {""ingredient"": ""zanahoria"", ""grams"": 86}]",167.3,9.7,7.6,11.6,2.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0022,Tostadas integrales con pavo cocido y zanahoria,desayuno,1,17,"[{""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""pavo cocido"", ""grams"": 145}, {""ingredient"": ""semillas de lino"", ""grams"": 35}, {""ingredient"": ""zanahoria"", ""grams"": 123}]",666.9,59.9,54.8,24.1,18.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0023,Bowl de yogur griego descremado con arandanos y semillas de lino,desayuno,1,16,"[{""ingredient"": ""almendras"", ""grams"": 34}, {""ingredient"": ""arandanos"", ""grams"": 131}, {""ingredient"": ""semillas de lino"", ""grams"": 13}, {""ingredient"": ""yogur griego descremado"", ""grams"": 199}]",458.4,30.3,37.4,23.6,10.7,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0024,Pudding de chia con banana,postre,1,17,"[{""ingredient"": ""banana"", ""grams"": 173}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 238}, {""ingredient"": ""semillas de chia"", ""grams"": 18}]",289.0,7.3,51.8,9.0,11.1,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0025,Guiso de legumbres con brocoli,cena,1,26,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 97}, {""ingredient"": ""brocoli"", ""grams"": 144}, {""ingredient"": ""pasta integral cocida"", ""grams"": 250}, {""ingredient"": ""semillas de chia"", ""grams"": 31}]",622.1,47.0,85.0,13.9,21.8,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0026,Yogur griego con manzana y semillas de chia,snack,1,14,"[{""ingredient"": ""manzana"", ""grams"": 118}, {""ingredient"": ""semillas de chia"", ""grams"": 14}, {""ingredient"": ""yogur griego descremado"", ""grams"": 295}]",303.5,32.2,32.8,5.8,7.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0027,Tazón de quinoa con atun al natural escurrido y cebolla,cena,1,12,"[{""ingredient"": ""almendras"", ""grams"": 31}, {""ingredient"": ""atun al natural escurrido"", ""grams"": 123}, {""ingredient"": ""batata cocida"", ""grams"": 248}, {""ingredient"": ""cebolla"", ""grams"": 81}]",577.8,44.3,66.4,17.3,13.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0028,Pollo con pasta integral cocida y tomate,almuerzo,2,25,"[{""ingredient"": ""garbanzos cocidos"", ""grams"": 98}, {""ingredient"": ""mostaza"", ""grams"": 27}, {""ingredient"": ""pasta integral cocida"", ""grams"": 196}, {""ingredient"": ""tomate"", ""grams"": 166}]",225.7,10.6,41.8,3.1,8.1,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0029,Ensalada proteica de garbanzos cocidos con espinaca y semillas de lino,almuerzo,1,40,"[{""ingredient"": ""avena"", ""grams"": 111}, {""ingredient"": ""espinaca"", ""grams"": 176}, {""ingredient"": ""garbanzos cocidos"", ""grams"": 143}, {""ingredient"": ""semillas de lino"", ""grams"": 24}]",834.9,41.1,125.5,22.2,33.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0030,Batido de proteína con naranja,snack,1,19,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 283}, {""ingredient"": ""naranja"", ""grams"": 142}, {""ingredient"": ""whey protein"", ""grams"": 30}]",243.3,28.1,24.8,5.3,4.0,Agregá todo en la licuadora. Licuá 20-30s hasta homogéneo. Serví y listo.
R0031,Wrap fitness de porotos negros cocidos con tomate y limon,almuerzo,1,27,"[{""ingredient"": ""limon"", ""grams"": 18}, {""ingredient"": ""pasta integral cocida"", ""grams"": 178}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 139}, {""ingredient"": ""tomate"", ""grams"": 99}]",427.2,22.5,83.4,2.9,19.1,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0032,Bowl de arroz integral cocido con morrón y semillas de chia,desayuno,1,20,"[{""ingredient"": ""naranja"", ""grams"": 118}, {""ingredient"": ""nueces"", ""grams"": 27}, {""ingredient"": ""semillas de chia"", ""grams"": 20}, {""ingredient"": ""yogur griego descremado"", ""grams"": 240}]",470.8,32.5,34.7,24.8,11.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0033,Pollo con batata cocida y zapallito,almuerzo,1,12,"[{""ingredient"": ""aceite de oliva"", ""grams"": 22}, {""ingredient"": ""batata cocida"", ""grams"": 112}, {""ingredient"": ""limon"", ""grams"": 26}, {""ingredient"": ""salmon"", ""grams"": 199}, {""ingredient"": ""zapallito"", ""grams"": 196}]",750.1,44.7,32.0,48.8,6.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0034,Ensalada proteica de queso cottage light con zanahoria y aceite de oliva,almuerzo,1,36,"[{""ingredient"": ""pan integral"", ""grams"": 177}, {""ingredient"": ""queso cottage light"", ""grams"": 166}, {""ingredient"": ""zanahoria"", ""grams"": 131}]",627.0,42.4,90.8,11.5,16.1,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0035,Bowl de avena con manzana y cacao amargo,desayuno,1,16,"[{""ingredient"": ""avena"", ""grams"": 50}, {""ingredient"": ""cacao amargo"", ""grams"": 19}, {""ingredient"": ""leche descremada"", ""grams"": 189}, {""ingredient"": ""manzana"", ""grams"": 110}, {""ingredient"": ""nueces"", ""grams"": 13}]",446.2,20.9,70.6,14.9,15.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0036,Ensalada proteica de lentejas cocidas con espinaca y semillas de lino,almuerzo,1,13,"[{""ingredient"": ""espinaca"", ""grams"": 110}, {""ingredient"": ""lentejas cocidas"", ""grams"": 176}, {""ingredient"": ""semillas de lino"", ""grams"": 32}, {""ingredient"": ""tortitas de arroz"", ""grams"": 181}]",1088.1,39.3,196.9,19.7,28.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0037,Tazón de quinoa con queso cottage light y espinaca,cena,1,23,"[{""ingredient"": ""espinaca"", ""grams"": 147}, {""ingredient"": ""queso cottage light"", ""grams"": 97}, {""ingredient"": ""semillas de lino"", ""grams"": 23}, {""ingredient"": ""tortitas de arroz"", ""grams"": 209}]",1030.4,35.8,186.6,18.3,13.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0038,Pudding de chia con manzana,postre,2,15,"[{""ingredient"": ""cacao amargo"", ""grams"": 29}, {""ingredient"": ""leche descremada"", ""grams"": 221}, {""ingredient"": ""manzana"", ""grams"": 192}, {""ingredient"": ""semillas de lino"", ""grams"": 19}]",172.4,8.6,29.9,6.3,10.2,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0039,Bowl de quinoa cocida con zanahoria y manzana,desayuno,1,7,"[{""ingredient"": ""manzana"", ""grams"": 151}, {""ingredient"": ""semillas de lino"", ""grams"": 8}, {""ingredient"": ""yogur griego descremado"", ""grams"": 220}]",251.0,23.9,31.1,4.5,5.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0040,Pollo con batata cocida y zapallito,almuerzo,1,25,"[{""ingredient"": ""batata cocida"", ""grams"": 155}, {""ingredient"": ""limon"", ""grams"": 23}, {""ingredient"": ""nueces"", ""grams"": 17}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 103}, {""ingredient"": ""zapallito"", ""grams"": 116}]",413.0,16.6,65.4,12.3,17.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0041,Omelette de cebolla con mantequilla de mani,desayuno,1,11,"[{""ingredient"": ""cebolla"", ""grams"": 197}, {""ingredient"": ""claras de huevo"", ""grams"": 100}, {""ingredient"": ""huevo entero"", ""grams"": 140}]",331.0,31.4,20.6,13.7,3.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0042,Pollo con pan integral y pepino,almuerzo,1,27,"[{""ingredient"": ""mostaza"", ""grams"": 6}, {""ingredient"": ""pan integral"", ""grams"": 125}, {""ingredient"": ""pepino"", ""grams"": 137}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 172}, {""ingredient"": ""semillas de chia"", ""grams"": 27}]",692.9,37.5,109.2,14.9,33.8,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0043,Ensalada proteica de garbanzos cocidos con espinaca y semillas de lino,almuerzo,2,25,"[{""ingredient"": ""espinaca"", ""grams"": 124}, {""ingredient"": ""garbanzos cocidos"", ""grams"": 127}, {""ingredient"": ""pan integral"", ""grams"": 93}, {""ingredient"": ""salsa de soja"", ""grams"": 7}]",235.1,13.8,38.6,3.9,9.4,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0044,Pudding de chia con naranja,postre,2,14,"[{""ingredient"": ""cacao amargo"", ""grams"": 19}, {""ingredient"": ""leche descremada"", ""grams"": 283}, {""ingredient"": ""miel"", ""grams"": 23}, {""ingredient"": ""naranja"", ""grams"": 128}, {""ingredient"": ""semillas de lino"", ""grams"": 26}]",205.6,9.6,33.4,7.0,8.6,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0045,Guiso de legumbres con espinaca,cena,2,19,"[{""ingredient"": ""avena"", ""grams"": 221}, {""ingredient"": ""espinaca"", ""grams"": 79}, {""ingredient"": ""lentejas cocidas"", ""grams"": 124}, {""ingredient"": ""salsa de soja"", ""grams"": 24}, {""ingredient"": ""semillas de lino"", ""grams"": 23}]",578.6,28.4,91.0,12.9,20.6,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0046,Tazón de quinoa con porotos negros cocidos y zapallito,cena,1,11,"[{""ingredient"": ""pasta integral cocida"", ""grams"": 137}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 219}, {""ingredient"": ""zapallito"", ""grams"": 98}]",475.6,27.7,89.8,2.9,24.1,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0047,Tazón de quinoa con lentejas cocidas y pepino,cena,1,29,"[{""ingredient"": ""almendras"", ""grams"": 12}, {""ingredient"": ""lentejas cocidas"", ""grams"": 149}, {""ingredient"": ""limon"", ""grams"": 18}, {""ingredient"": ""pepino"", ""grams"": 198}, {""ingredient"": ""tortitas de arroz"", ""grams"": 208}]",1069.6,34.2,211.8,12.7,19.0,Prepará y pesá los ingredientes. Salteá las verduras con un toque de aceite o al vapor. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0048,Wrap fitness de atun al natural escurrido con brocoli y mostaza,almuerzo,2,21,"[{""ingredient"": ""atun al natural escurrido"", ""grams"": 151}, {""ingredient"": ""brocoli"", ""grams"": 171}, {""ingredient"": ""semillas de lino"", ""grams"": 25}, {""ingredient"": ""tortitas de arroz"", ""grams"": 126}]",422.8,29.3,60.9,8.1,6.9,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0049,Omelette de zanahoria con mantequilla de mani,desayuno,2,21,"[{""ingredient"": ""claras de huevo"", ""grams"": 150}, {""ingredient"": ""huevo entero"", ""grams"": 120}, {""ingredient"": ""mantequilla de mani"", ""grams"": 34}, {""ingredient"": ""zanahoria"", ""grams"": 142}]",253.9,20.9,11.4,14.5,3.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0050,Bowl de quinoa cocida con almendras y zapallito,desayuno,2,20,"[{""ingredient"": ""almendras"", ""grams"": 19}, {""ingredient"": ""banana"", ""grams"": 177}, {""ingredient"": ""semillas de chia"", ""grams"": 8}, {""ingredient"": ""yogur griego descremado"", ""grams"": 263}]",230.8,16.8,28.7,6.8,4.8,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0051,Wrap fitness de pechuga de pollo cocida con tomate y limon,almuerzo,1,25,"[{""ingredient"": ""pechuga de pollo cocida"", ""grams"": 103}, {""ingredient"": ""semillas de chia"", ""grams"": 13}, {""ingredient"": ""tomate"", ""grams"": 89}, {""ingredient"": ""tortitas de arroz"", ""grams"": 137}]",769.8,45.9,121.3,11.8,8.2,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0052,Tazón de quinoa con tempeh y morrón,cena,1,34,"[{""ingredient"": ""morrón"", ""grams"": 190}, {""ingredient"": ""mostaza"", ""grams"": 7}, {""ingredient"": ""pasta integral cocida"", ""grams"": 128}, {""ingredient"": ""tempeh"", ""grams"": 178}]",565.8,44.2,59.8,21.8,8.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0053,Yogur griego con banana y semillas de lino,snack,1,22,"[{""ingredient"": ""banana"", ""grams"": 190}, {""ingredient"": ""cacao amargo"", ""grams"": 16}, {""ingredient"": ""semillas de lino"", ""grams"": 10}, {""ingredient"": ""yogur griego descremado"", ""grams"": 275}]",421.2,34.5,65.4,8.1,13.6,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0054,Salmon con pan integral y ensalada,cena,2,31,"[{""ingredient"": ""cebolla"", ""grams"": 181}, {""ingredient"": ""claras de huevo"", ""grams"": 91}, {""ingredient"": ""pan integral"", ""grams"": 161}]",258.7,16.5,41.7,3.6,7.2,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0055,Pudding de chia con naranja,postre,1,15,"[{""ingredient"": ""leche descremada"", ""grams"": 254}, {""ingredient"": ""miel"", ""grams"": 20}, {""ingredient"": ""naranja"", ""grams"": 191}, {""ingredient"": ""semillas de lino"", ""grams"": 18}]",335.6,13.7,56.9,8.0,9.5,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0056,Guiso de legumbres con espinaca,cena,2,13,"[{""ingredient"": ""batata cocida"", ""grams"": 140}, {""ingredient"": ""espinaca"", ""grams"": 133}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 97}]",142.3,7.7,28.7,0.6,8.0,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0057,Tostadas integrales con queso cottage light y zapallito,desayuno,2,23,"[{""ingredient"": ""palta"", ""grams"": 26}, {""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""queso cottage light"", ""grams"": 107}, {""ingredient"": ""zapallito"", ""grams"": 170}]",177.9,12.4,22.0,5.1,4.5,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0058,Pudding de chia con banana,postre,2,14,"[{""ingredient"": ""banana"", ""grams"": 112}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 267}, {""ingredient"": ""semillas de chia"", ""grams"": 19}]",122.7,3.6,19.4,4.7,5.0,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0059,Pudding de chia con frutillas,postre,1,5,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 273}, {""ingredient"": ""cacao amargo"", ""grams"": 23}, {""ingredient"": ""frutillas"", ""grams"": 93}, {""ingredient"": ""miel"", ""grams"": 14}, {""ingredient"": ""semillas de lino"", ""grams"": 18}]",275.5,11.2,42.7,14.3,15.8,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0060,Pudding de chia con banana,postre,1,19,"[{""ingredient"": ""banana"", ""grams"": 160}, {""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 185}, {""ingredient"": ""cacao amargo"", ""grams"": 25}, {""ingredient"": ""semillas de chia"", ""grams"": 24}]",353.0,12.6,64.7,13.6,21.9,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0061,Bowl de arroz integral cocido con frutillas y cacao amargo,desayuno,1,21,"[{""ingredient"": ""frutillas"", ""grams"": 180}, {""ingredient"": ""semillas de lino"", ""grams"": 16}, {""ingredient"": ""yogur griego descremado"", ""grams"": 183}]",251.0,22.4,25.1,8.0,7.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0062,Salmon con pasta integral cocida y ensalada,cena,2,40,"[{""ingredient"": ""pasta integral cocida"", ""grams"": 116}, {""ingredient"": ""whey protein"", ""grams"": 99}, {""ingredient"": ""zanahoria"", ""grams"": 117}]",293.9,43.0,24.1,3.7,3.4,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0063,Salmon con arroz blanco cocido y ensalada,cena,1,39,"[{""ingredient"": ""aceite de oliva"", ""grams"": 17}, {""ingredient"": ""arroz blanco cocido"", ""grams"": 243}, {""ingredient"": ""huevo entero"", ""grams"": 177}, {""ingredient"": ""morrón"", ""grams"": 155}, {""ingredient"": ""salsa de soja"", ""grams"": 24}]",780.1,32.3,80.5,35.2,4.2,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
